N,SortedVector Add,LinkedList Add,BST Add,SortedVector Search,LinkedList Search,BST Search,SortedVector Save,SortedList Save, BST Save,SortedVector Remove,SortedList Remove,BST Remove,Vector Add Front,LinkedList Add Front,Vector Add Back,LinkedList Add Back,Vector Remove Front,LinkedList Remove Front,Vector Remove Back,LinkedList Remove Back,Vector Get,LinkedList Get
500.000000,0.000859,0.000380,0.000071,0.000117,0.000501,0.000071,0.000066,0.000083,0.000084,0.000205,0.000419,0.000103,0.000112,0.000006,0.000007,0.000006,0.000112,0.000003,0.000002,0.000123,0.000002,0.000073
1000.000000,0.001655,0.001467,0.000173,0.000240,0.002292,0.000162,0.000111,0.000132,0.000158,0.000442,0.001942,0.000225,0.000426,0.000011,0.000011,0.000011,0.000435,0.000006,0.000004,0.000689,0.000003,0.000382
1500.000000,0.003799,0.003209,0.000267,0.000375,0.005449,0.000261,0.000208,0.000222,0.000310,0.000766,0.004692,0.000372,0.000944,0.000020,0.000018,0.000015,0.000971,0.000009,0.000004,0.002314,0.000004,0.001312
2000.000000,0.006197,0.005373,0.000380,0.000511,0.010469,0.000383,0.000310,0.000258,0.000367,0.001228,0.008437,0.000534,0.001620,0.000021,0.000022,0.000020,0.001729,0.000014,0.000007,0.004590,0.000004,0.002585
2500.000000,0.010108,0.008819,0.000444,0.000644,0.016759,0.000520,0.000290,0.000384,0.000348,0.001673,0.013225,0.000744,0.002527,0.000025,0.000027,0.000026,0.002697,0.000018,0.000009,0.007560,0.000005,0.004210
3000.000000,0.014190,0.012457,0.000543,0.000731,0.025547,0.000670,0.000308,0.000303,0.000469,0.002250,0.019073,0.000828,0.003643,0.000068,0.000034,0.000030,0.003927,0.000024,0.000010,0.011493,0.000005,0.006425
3500.000000,0.020695,0.018352,0.000668,0.000879,0.035193,0.000811,0.000385,0.000382,0.000374,0.003006,0.026072,0.001092,0.004929,0.000037,0.000038,0.000034,0.005248,0.000026,0.000011,0.015259,0.000007,0.009001
4000.000000,0.024014,0.021183,0.000742,0.000985,0.040541,0.000894,0.000420,0.000376,0.001338,0.005909,0.037801,0.001318,0.005853,0.000054,0.000022,0.000036,0.006182,0.000031,0.000011,0.018427,0.000006,0.010569
4500.000000,0.030273,0.027146,0.000784,0.001087,0.052127,0.001047,0.000639,0.000663,0.000491,0.004163,0.038952,0.001262,0.007406,0.000053,0.000041,0.000040,0.007814,0.000029,0.000013,0.023628,0.000007,0.013536
5000.000000,0.037696,0.033754,0.000869,0.001205,0.064296,0.001358,0.000855,0.000820,0.000655,0.004874,0.050130,0.001420,0.009076,0.000050,0.000052,0.000058,0.009666,0.000149,0.000014,0.029781,0.000008,0.016823
5500.000000,0.045742,0.040895,0.000968,0.001300,0.078500,0.001212,0.000564,0.000683,0.000576,0.005786,0.060972,0.001593,0.011030,0.000117,0.000056,0.000050,0.011750,0.000120,0.000015,0.035767,0.000009,0.020294
6000.000000,0.054659,0.050032,0.001057,0.001420,0.093665,0.001334,0.000521,0.000612,0.001118,0.006862,0.071613,0.001714,0.013089,0.000179,0.000061,0.000055,0.013871,0.000115,0.000017,0.043411,0.000010,0.024923
6500.000000,0.063961,0.057359,0.001167,0.001561,0.110777,0.001495,0.000617,0.000810,0.000681,0.007847,0.086179,0.002015,0.015403,0.000073,0.000037,0.000060,0.016418,0.000109,0.000019,0.050586,0.000011,0.029448
7000.000000,0.075949,0.067633,0.001277,0.001688,0.133622,0.002036,0.000448,0.000595,0.000644,0.009073,0.100425,0.002358,0.017915,0.000110,0.000038,0.000063,0.019275,0.000064,0.000020,0.060356,0.000014,0.034367
7500.000000,0.087453,0.077698,0.001400,0.001813,0.151628,0.001980,0.000450,0.000787,0.000665,0.010351,0.116607,0.002601,0.021225,0.000299,0.000060,0.000069,0.022025,0.000183,0.000021,0.070085,0.000015,0.040056
8000.000000,0.097688,0.087035,0.001533,0.001925,0.174147,0.002134,0.000487,0.000491,0.000851,0.011651,0.134451,0.002912,0.023456,0.000252,0.000047,0.000073,0.025164,0.000221,0.000023,0.078870,0.000013,0.045630
8500.000000,0.113294,0.101606,0.001606,0.002107,0.200883,0.002312,0.000541,0.000516,0.000704,0.013304,0.151094,0.002999,0.026518,0.000432,0.000054,0.000079,0.028821,0.000354,0.000023,0.089738,0.000015,0.053017
9000.000000,0.124445,0.111197,0.001727,0.002169,0.223432,0.002612,0.000660,0.001149,0.000895,0.014666,0.171204,0.003341,0.032419,0.000498,0.000056,0.000100,0.031763,0.000350,0.000026,0.101119,0.000020,0.059077
9500.000000,0.139900,0.125490,0.001874,0.002403,0.255338,0.002854,0.000841,0.001107,0.000981,0.015902,0.196205,0.003486,0.033113,0.000519,0.000079,0.000096,0.035610,0.000385,0.000027,0.113610,0.000037,0.066324
10000.000000,0.155936,0.141376,0.001945,0.002615,0.282058,0.003298,0.000634,0.001199,0.000946,0.017959,0.219341,0.004245,0.036755,0.000560,0.000063,0.000094,0.039234,0.000385,0.000028,0.125043,0.000021,0.075657
10500.000000,0.168390,0.151911,0.002019,0.002516,0.318327,0.003166,0.000665,0.000899,0.001027,0.019521,0.248912,0.004034,0.040626,0.000514,0.000081,0.000104,0.043901,0.000359,0.000029,0.139912,0.000018,0.080141
11000.000000,0.186272,0.167924,0.002205,0.002672,0.351028,0.003028,0.000710,0.001005,0.000925,0.021261,0.275322,0.003829,0.044710,0.000446,0.000076,0.000110,0.047471,0.000319,0.000031,0.153967,0.000020,0.088988
11500.000000,0.203603,0.186824,0.002239,0.002831,0.389391,0.003311,0.000670,0.000900,0.001064,0.022985,0.308477,0.003843,0.048475,0.000465,0.000074,0.000128,0.051772,0.000362,0.000032,0.167213,0.000021,0.099112
12000.000000,0.223021,0.203389,0.002405,0.003008,0.423188,0.003372,0.000862,0.001458,0.000990,0.025489,0.334200,0.004709,0.052826,0.000565,0.000081,0.000120,0.057281,0.000500,0.000033,0.185028,0.000022,0.105912
12500.000000,0.240294,0.217308,0.002502,0.003046,0.465056,0.003660,0.000771,0.000779,0.001081,0.027471,0.359790,0.004637,0.057397,0.000482,0.000080,0.000138,0.061718,0.000460,0.000035,0.202713,0.000022,0.119320
13000.000000,0.261381,0.238368,0.002611,0.003159,0.504510,0.004246,0.001142,0.002066,0.001682,0.029773,0.405493,0.005199,0.062246,0.000675,0.000288,0.000140,0.066813,0.000579,0.000036,0.219212,0.000036,0.127564
13500.000000,0.282119,0.257566,0.002764,0.003447,0.562285,0.004457,0.001542,0.002595,0.001728,0.033000,0.429410,0.005509,0.066985,0.000762,0.000126,0.000155,0.071842,0.000581,0.000038,0.238152,0.000044,0.139372
14000.000000,0.304761,0.279034,0.002861,0.003563,0.606642,0.004731,0.001221,0.002046,0.001754,0.034839,0.486416,0.005196,0.072120,0.000742,0.000126,0.000151,0.077885,0.000590,0.000039,0.266148,0.000028,0.150516
14500.000000,0.334608,0.303593,0.003038,0.003767,0.656182,0.004905,0.001245,0.001687,0.001543,0.037284,0.505110,0.005931,0.077050,0.000674,0.000112,0.000152,0.084073,0.000645,0.000040,0.287536,0.000029,0.161370
15000.000000,0.347845,0.322470,0.003120,0.003763,0.690551,0.005041,0.001135,0.002258,0.001573,0.039897,0.618396,0.006715,0.084315,0.000774,0.000091,0.000222,0.088959,0.000615,0.000041,0.309819,0.000029,0.167447
15500.000000,0.372305,0.343864,0.003295,0.003912,0.757145,0.005302,0.001306,0.002506,0.001745,0.042728,0.612923,0.006239,0.088859,0.000758,0.000115,0.000167,0.095900,0.000597,0.000043,0.338799,0.000028,0.195205
16000.000000,0.408576,0.377065,0.003402,0.004031,0.814379,0.005353,0.000971,0.001603,0.001442,0.044599,0.653776,0.006251,0.094514,0.000827,0.000154,0.000201,0.102086,0.000677,0.000044,0.363432,0.000030,0.212797
16500.000000,0.422191,0.390438,0.003507,0.004151,0.871296,0.005539,0.001169,0.002333,0.001878,0.047419,0.705269,0.006656,0.100620,0.000916,0.000131,0.000175,0.108723,0.000673,0.000045,0.389187,0.000037,0.225387
17000.000000,0.448263,0.415908,0.003679,0.004244,0.947727,0.006012,0.001408,0.002572,0.001807,0.050137,0.764318,0.007443,0.107253,0.000853,0.000159,0.000288,0.114628,0.000708,0.000047,0.440905,0.000035,0.231289
