N,SortedVector Add,LinkedList Add,BST Add,SortedVector Search,LinkedList Search,BST Search,SortedVector Save,SortedList Save, BST Save,SortedVector Remove,SortedList Remove,BST Remove,Vector Add Front,LinkedList Add Front,Vector Add Back,LinkedList Add Back,Vector Remove Front,LinkedList Remove Front,Vector Remove Back,LinkedList Remove Back,Vector Get,LinkedList Get
500.000000,0.000438,0.000379,0.000074,0.000100,0.000474,0.000087,0.000072,0.000086,0.000130,0.000160,0.000420,0.000103,0.000115,0.000006,0.000006,0.000006,0.000117,0.000003,0.000002,0.000127,0.000002,0.000072
1000.000000,0.001627,0.001501,0.000175,0.000210,0.002193,0.000158,0.000153,0.000122,0.000167,0.000395,0.001918,0.000235,0.000407,0.000011,0.000011,0.000011,0.000444,0.000006,0.000004,0.000653,0.000002,0.000398
1500.000000,0.003629,0.003344,0.000259,0.000293,0.005467,0.000312,0.000187,0.000282,0.000289,0.000719,0.004571,0.000372,0.000915,0.000016,0.000015,0.000015,0.000987,0.000009,0.000004,0.002310,0.000004,0.001427
2000.000000,0.006283,0.005377,0.000425,0.000408,0.010181,0.000400,0.000409,0.000354,0.000260,0.001138,0.008066,0.000548,0.001641,0.000021,0.000022,0.000021,0.001779,0.000014,0.000006,0.004349,0.000005,0.002933
2500.000000,0.010165,0.008838,0.000531,0.000482,0.016255,0.000497,0.000331,0.000477,0.000378,0.001644,0.012971,0.000667,0.002547,0.000029,0.000027,0.000026,0.002691,0.000016,0.000008,0.007583,0.000006,0.004763
3000.000000,0.014281,0.012598,0.000549,0.000605,0.025616,0.000744,0.000451,0.000338,0.000428,0.002163,0.018077,0.000873,0.003604,0.000032,0.000033,0.000030,0.003913,0.000024,0.000010,0.011116,0.000008,0.006862
3500.000000,0.020841,0.018349,0.000663,0.000674,0.031661,0.000812,0.000516,0.000625,0.000599,0.002880,0.025626,0.001194,0.004891,0.000112,0.000036,0.000032,0.004954,0.000054,0.000010,0.013887,0.000009,0.009527
4000.000000,0.023527,0.020998,0.000692,0.000745,0.039504,0.000834,0.000510,0.000451,0.000591,0.003335,0.029576,0.001195,0.006909,0.000148,0.000045,0.000040,0.006282,0.000059,0.000011,0.018039,0.000015,0.012253
4500.000000,0.030705,0.027937,0.000777,0.000831,0.047611,0.001029,0.000469,0.000620,0.000573,0.003999,0.038407,0.001280,0.007443,0.000049,0.000026,0.000041,0.007888,0.000039,0.000013,0.023248,0.000011,0.015603
5000.000000,0.038996,0.034249,0.000869,0.000917,0.058780,0.001112,0.000465,0.000965,0.000816,0.005171,0.047294,0.001401,0.009168,0.000142,0.000050,0.000046,0.009650,0.000051,0.000014,0.028756,0.000013,0.019792
5500.000000,0.046120,0.041223,0.000984,0.001015,0.068883,0.001200,0.000680,0.000763,0.000609,0.005793,0.057962,0.001568,0.011137,0.000109,0.000059,0.000051,0.011719,0.000109,0.000016,0.035060,0.000014,0.024595
6000.000000,0.055730,0.049535,0.001078,0.001097,0.084512,0.001418,0.000849,0.001047,0.000947,0.007142,0.068298,0.001840,0.013275,0.000144,0.000034,0.000060,0.014181,0.000209,0.000017,0.042305,0.000016,0.029413
6500.000000,0.065673,0.058031,0.001230,0.001225,0.095950,0.001519,0.000658,0.000742,0.001026,0.008116,0.080864,0.001892,0.015564,0.000219,0.000040,0.000063,0.016619,0.000147,0.000019,0.049657,0.000016,0.036269
7000.000000,0.077731,0.067092,0.001262,0.001216,0.112429,0.001629,0.000686,0.000960,0.000927,0.009420,0.093065,0.002104,0.017950,0.000098,0.000039,0.000066,0.019122,0.000142,0.000020,0.057887,0.000017,0.041396
7500.000000,0.086933,0.077714,0.001373,0.001326,0.125627,0.001737,0.000835,0.001078,0.001015,0.010640,0.109031,0.002268,0.020770,0.000303,0.000053,0.000070,0.022591,0.000197,0.000021,0.066304,0.000016,0.048138
8000.000000,0.098072,0.087890,0.001504,0.001432,0.146908,0.001935,0.000748,0.000995,0.001148,0.012152,0.127473,0.002430,0.023537,0.000220,0.000047,0.000077,0.025279,0.000288,0.000022,0.076637,0.000016,0.056453
8500.000000,0.113652,0.101200,0.001667,0.001505,0.164108,0.001970,0.000928,0.001291,0.001125,0.013720,0.144917,0.002736,0.026652,0.000331,0.000049,0.000079,0.028645,0.000144,0.000024,0.086521,0.000017,0.063832
9000.000000,0.124493,0.111586,0.001701,0.001564,0.184319,0.002102,0.000734,0.000858,0.001111,0.015303,0.162238,0.002748,0.029704,0.000243,0.000053,0.000086,0.031761,0.000212,0.000025,0.096849,0.000016,0.073346
9500.000000,0.140454,0.125661,0.001834,0.001651,0.204679,0.002187,0.000878,0.001187,0.000936,0.017129,0.178254,0.002931,0.033120,0.000206,0.000056,0.000091,0.035535,0.000241,0.000026,0.107906,0.000015,0.082718
9999.000000,0.157190,0.151396,0.001959,0.001816,0.225288,0.002325,0.001060,0.001154,0.000941,0.018683,0.203440,0.003148,0.036618,0.000277,0.000056,0.000095,0.039667,0.000207,0.000028,0.122675,0.000015,0.091952
